ucid,uuid,upid,is_correct,total_sec_taken,total_attempt_cnt,used_hint_cnt,points,badges_cnt,level0,level1,level2,level3,level4,repeat_correct_pct,grade_top,learning_stage,difficulty
+tVk3DLjXUKiZ3/hK6CJAl3Z8sfp093/2DwLqCsFgMA=,14570,50,0.875291695,12.92340426,1.236101579,0.142827728,251344.7262,36.45037749,9591,2893,967,801,318,0.815447531,7,junior,easy
+tX4n52MmDdJGGzRnY7I7jEoynqRl6k1jAnonznfs7Q=,3344,25,0.554425837,61.33133971,2.431220096,0.969497608,429959.837,72.53199761,2832,367,78,45,22,0.471305162,7,junior,easy
+xN/geZI+rXD8yB7YBDvLwAXgXO6aORg9eOFv6AfGHM=,10366,14,0.548331082,50.63756512,2.644703839,1.466235771,376472.2071,44.62888289,8339,1186,431,316,94,0.396187112,4,elementary,hard
+zUL0wWCfsBXNoDj5KsvASLlqd26KU9+nSN1zZ7GsQI=,9826,16,0.80449827,34.87278648,1.633116222,0.181355587,317327.3033,35.7618563,7175,1604,453,436,158,0.673569145,4,elementary,easy
/0Y1OFJkQGPagfYO9uI6mM0Z9KK7vcmT/QPVos+v7Ec=,4919,24,0.53852409,20.02297215,2.155112828,0.239886156,385928.8632,71.3364505,4084,535,192,85,23,0.417227534,7,junior,unset
/4h6DuvZuZzr028oR886m6kpiLYuUSmpr9v3ITNTgiY=,19192,18,0.884535223,22.72264485,1.423614006,0.155846186,256014.7594,28.07357232,11457,4123,1704,1320,588,0.795718171,4,elementary,easy
/7bwpUc6iDiE/m0Qj8CJo8qYMkAC51PHzIxTMmkE0nA=,2079,16,0.706108706,42.84030784,2.16017316,0.375661376,584728.0101,50.18326118,1502,295,137,109,36,0.547806252,5,elementary,easy
/OENQOL30zwAXAy3IN1FbzZFfjfOLaynYaW3w6bk2gw=,4194,22,0.389127325,42.87792084,2.757749165,0.510014306,292714.0696,70.9468288,3928,215,35,12,4,0.326884408,8,junior,easy
/SsQisa91ErcEufKW7SNb4xZ6DASvJZ4Ml5/0BluyAA=,9066,31,0.663136995,20.2031767,1.706816678,0.485991617,208688.556,40.19126406,7047,1286,451,194,88,0.58403828,8,junior,easy
/Sw5cJFSX/oGzBxxguGO4BkFKPZmhFXSpCCJVhOtffU=,9689,15,0.660336464,47.50221901,2.857054392,1.294044793,325274.0472,44.86892352,7509,1290,493,307,90,0.524034397,5,elementary,hard
/ZG3Gxrc7wG0FWxYWExavs4ATbc0nu47cDYJAuQYVvc=,2532,20,0.451816746,114.3965245,4.005134281,4.339652449,509910.3543,74.39296998,2170,223,73,47,19,0.361078223,7,junior,normal
/acOsfJkQuYuDq5UjkRrojhkbUcIgia4SvjKpo1v0pI=,3132,31,0.577586207,31.84386973,2.225734355,0.276819923,410214.9093,71.95625798,2597,386,97,38,14,0.583029556,7,junior,normal
/d39FzqaM3PZzpoMXxA80PMICsVhzfL6MGSCqZtsQOo=,17588,16,0.64754378,31.73550148,1.945076188,0.804866955,303621.2953,41.74749829,13515,2356,811,582,324,0.529389643,5,elementary,easy
/dE70lhbWnFlB1v+ZQBYpQu2XDmodq4HYiBDGZRw3+o=,12007,16,0.832514367,54.00824519,1.67460648,0.324977097,334207.2683,41.85700008,8572,1912,767,563,193,0.743678346,5,elementary,easy
/dgnkSSQs7RfFOI233RPKNKg29VBS0L7s7IBSmtIWqI=,2302,16,0.476542137,47.61294526,2.307558645,0.715030408,155575.6955,30.12597741,2070,147,58,23,4,0.313046139,9,junior,easy
/ejwQaTpw8saI8XVEo0mo08Yf2ko9KW5lwBJRlO8/dM=,265,40,0.479245283,65.53584906,2.086792453,1,301372.1245,68.24150943,249,16,0,0,0,0.306691525,8,junior,normal
/fQsOaxbPuYyM7ZO/JBLBRA6HJyOHY8zUN9oLVT5vYM=,13539,16,0.917719182,36.19935003,1.221803678,0.144619248,301925.2634,33.90826501,9261,2491,948,564,275,0.859291127,3,elementary,easy
/fn8Ym16AvhuhgFRtoeZ4sRU9ZRhvvpYN90SUH7zQ4M=,19104,20,0.77721943,24.21115997,1.683103015,0.168603434,248410.2804,30.15384213,13310,3493,1215,729,357,0.668227647,4,elementary,easy
/m+oiUSO1lBCPvQ6LkUyCbWdd7ML4X1IxxuUa8QcDMo=,10965,27,0.646602827,49.72302782,2.307432741,0.802644779,239860.9461,35.50551756,8775,1353,468,276,93,0.522529048,6,elementary,easy
00KEZbwE/6qJ+WSl9TwUEgbwi/wmnEVgeCnGzi4/EYo=,27713,18,0.483924512,30.77801032,2.253779815,0.490708332,276977.2105,34.14163028,23559,2539,1002,486,127,0.326956921,3,elementary,normal
00tlmGnNIf0z+qJsG0NMS4ufwkwwG1nZtKszPesM1EM=,6909,16,0.664350847,35.34447822,2.416413374,0.529020119,384080.551,41.81719496,5478,846,307,198,80,0.521021876,4,elementary,easy
01c8/1Mc1V3LZtYFNre8TolslWChJSztpFHSNAvPlpI=,6818,16,0.662951012,38.50704019,1.928424758,0.514960399,335634.282,36.77794075,5582,753,232,182,69,0.555875324,5,elementary,easy
04Ly7oQJHeLBj2GcKWLn7e51TJmF5MTSvPESVomvUM4=,21925,17,0.713249715,16.42700114,1.703033067,0.256237172,264962.1678,31.03927024,15511,3345,1480,1162,427,0.550222777,4,elementary,easy
06kRCVdMd4I4CpJxtM7rmBED6keL482Br8ZCE6DU+W4=,2369,20,0.515407345,36.86829886,2.073870832,1.195863233,358189.9776,94.24820599,2096,213,42,12,6,0.513340489,8,junior,easy
0BL+DbelLoGwTw7JvHBXe7pZr1N/E8JVhngim3zzjJ4=,10029,22,0.87755509,13.81224449,1.162827799,0.119553295,210190.8209,38.10330043,5802,2345,1102,477,303,0.779006823,8,junior,easy
0FMoJE22DcUZEQ3fIPHBSuBfrQEG0vjhpvOoWyeTTXY=,16014,18,0.485138004,61.42512801,2.713500687,1.606656675,234359.5164,30.91039091,13109,1529,795,451,130,0.300904014,6,elementary,hard
0FaNRnGt8wB5REzt8NnMPYaoTw4/qe+3z2hOkQOvI/s=,8034,27,0.732262883,51.94299228,1.81167538,0.737615136,289089.5799,46.23811302,6144,1147,411,242,90,0.646405705,7,junior,easy
0L/eenAcUQ8YSZ6x22wFpagb2l4TXqOSGgRtSI56kvI=,9718,19,0.706112369,46.09703643,1.8033546,0.683371064,267781.6154,44.09775674,7752,1261,379,236,90,0.603944088,7,junior,easy
0SEOeLpKd2K4V+T1BhZENWUuLHGTd+x+SQiXWcPAFZc=,2257,16,0.812140009,32.80815241,1.57953035,0.262295082,273258.1467,41.18564466,1730,354,77,66,30,0.730613494,6,elementary,easy
0TFQA8MIRYvgH+PXVXYkRKMPK/LPcaVH9hTxb5daZ+o=,6171,31,0.538972614,30.71917031,2.108248258,0.300275482,330359.5142,56.0620645,5091,656,234,155,35,0.371447299,7,junior,unset
0f0BGV01H4RbdYLrd/fZN5enqRjIC7Bkzcoqxzgf0YA=,4859,16,0.734513274,27.22967689,1.654455649,0.32414077,430056.3365,42.52582836,3676,598,317,196,72,0.604748655,5,elementary,easy
0hKXPT2iK/182EPLj3c5qePYUT84KU4JI+P/t6nnmBk=,5039,35,0.463782497,37.21651121,2.28993848,0.481246279,215284.4267,41.47946021,4523,252,78,91,95,0.429242629,7,junior,easy
0jLx3N/h3zT921WmSVhS4e0TPADpzOygjsvjtTOolmc=,3257,13,0.478354314,55.67884556,2.229045134,0.780472828,291540.9853,48.45747621,2803,283,99,63,9,0.29421096,7,junior,hard
0k/ZE9Ku+2Enji5zKQZ5mrfr9r+Noh1CS9kH0GKGf0Q=,5055,16,0.434025717,67.3909001,2.888229476,2.225914936,236479.5288,35.98694362,4444,442,98,46,25,0.293448349,6,elementary,hard
0lDY2d/yzs1IgpdsEVNAptv7CcTNSmBXzskCNgPAJTU=,2608,24,0.597009202,71.63726994,1.777223926,0.425230061,337164.4567,69.53642638,2282,252,55,13,6,0.51244648,8,junior,easy
0nHTRYRZznXBRGpGHElXm2Gw+zHjWz37H+X3XCvUxQI=,2189,22,0.731841023,43.45408862,1.455002284,0.33348561,367019.8881,71.00730927,1812,291,51,30,5,0.624424045,8,junior,easy
0o4JbsG6rcRJSeQKtJ2tAUo1PL+wlyvYlEr/nB4zkOo=,16809,20,0.808792909,70.6885597,1.777738116,0.674876554,378488.8675,38.21500387,11499,2621,1199,1054,436,0.683072412,3,elementary,easy
0oPDO0zy0NDr7kBNesLy+ZbkNuyynak8fcfE05h+pwc=,4828,16,0.741300746,68.97328086,2.000621375,0.563380282,418372.348,39.49233637,3798,565,229,174,62,0.620098415,4,elementary,easy
0scVV//lTsPR9BCw3T2WDN6f9c0ASzANn/bUBJM4+gI=,4414,16,0.35659266,48.14046217,2.589941097,0.959900317,356039.5936,94.91776167,4018,255,103,32,6,0.299131914,8,junior,easy
0va2kBHyhCQAFKdC9DOJnPagiG32mCuQJZuApAXzMw0=,1288,20,0.414596273,42.19021739,2.597826087,1.156832298,232816.6778,42.56055901,1139,103,37,6,3,0.290015119,9,junior,easy
0zOX/8KkAItZEgHsWUWF2Ac2jsFVbT6TWnAuugSAteU=,13852,16,0.472133988,74.18863702,2.713615362,0.998628357,402629.9997,42.10438926,10887,1603,681,504,177,0.304811932,3,elementary,hard
1/laFoxMaEJLQfaHo92bbuIVjnq33aptQA8IY+0Hu+8=,984,9,0.477642276,40.2601626,2.051829268,0.541666667,222494.9563,50.65955285,856,85,21,20,2,0.349370922,9,junior,hard
1832ZH2Snk3B6ztlqJVE6Ias3IiPSH5gGZBuYAy7SvI=,10197,16,0.591546533,48.47641463,3.221437678,1.182504658,401411.915,57.54594489,8312,1247,385,173,80,0.446050586,5,elementary,normal
1Fy/09VqlDTU2ABClPQcq/zyTpDz9LpnuIS7kowjjEA=,4455,23,0.618181818,55.24040404,1.731088664,0.364309764,270011.9248,50.4976431,3780,505,90,62,18,0.491491244,8,junior,easy
1MhbCa7PFHspw9qYdDLAld7A/t5TV965ehYwzUUf1ug=,13142,18,0.786790443,52.6469335,1.923527621,0.631106377,320828.2614,42.00357632,10179,1757,560,440,206,0.679802749,5,elementary,easy
1WFEjeVRD0MW325Ssif9QSV+oEAMGUQfXzuBVtjPSto=,4837,16,0.517882985,64.79119289,2.491627042,1.339673351,256324.5574,35.76348977,4494,227,67,38,11,0.382003857,6,elementary,normal
1Zu6puXXArXORLxfMsN+B1XQm4lb2shHuMZAcokqmWw=,22373,16,0.669959326,25.86836812,1.844902338,0.455415009,312788.7478,33.66464041,15538,3511,1704,1288,332,0.466563277,3,elementary,easy
1e/leswSLZ3mYyWZriPrPDY2EoN3wwCXPbjTUX5aYW8=,3005,16,0.526788686,46.36206323,2.147088186,0.363727121,338328.9328,68.19034942,2536,390,56,14,9,0.4082009,8,junior,hard
1fj13beFL9gkyJu7fOVD08cezQW4aaruf2z0f+Xew1E=,25691,16,0.654665058,43.62675645,2.102954342,0.82301195,296478.2776,41.92584952,19310,3393,1434,1107,447,0.504639624,5,elementary,easy
1iha+v5exIXrmb2ARHQmmJwmljMj98PxQ1Io7y+rq84=,6265,17,0.680127694,46.75594573,1.898483639,0.709656824,261290.7159,39.76009577,5288,570,207,153,47,0.590533992,6,elementary,easy
1rYu966l6i1cA34mdxukVKusuaDPMwcW6a6WCWe5ZFo=,10256,16,0.899960998,21.42648206,1.272815913,0.127535101,353187.208,34.93311232,6282,2055,830,823,266,0.815098033,3,elementary,easy
1vxQPFV4O43WybxMtioe1qA8GIcP/kOWTaysWsNrBRY=,4424,21,0.441229656,36.60556058,2.319846293,0.69778481,277168.2335,75.65393309,3926,328,108,56,6,0.382758101,8,junior,normal
1xsYLCdr/gQCUDijkXoMhULyqs0zluLgCvJN7Bfq3Pg=,12958,15,0.638910326,46.09708288,2.740006174,1.225343417,262542.4674,36.28939651,11038,1068,372,370,110,0.509860303,5,elementary,easy
2/JTGg3RUH3Q7RJgicVubieOoxNnseT0PQorlMexeog=,17552,18,0.830332726,33.15246126,1.641636281,0.360528715,269920.2418,32.32098906,11321,3058,1633,1036,504,0.690618155,5,elementary,normal
201731Orvb+GcD3eI5Vi/mlUY7NGyHhegN0onY6aa1Y=,5531,16,0.689929488,61.3543663,2.489242452,1.054058941,384501.1857,39.24462123,4595,542,167,168,59,0.57671241,4,elementary,easy
24yLmjpZLo3XO2t14fVHMUMqhVcVPs93RBeN42c/MGc=,12969,16,0.775464569,41.87022901,1.701056365,0.373506053,364553.7526,39.7979798,9479,1900,768,608,214,0.635756296,3,elementary,hard
2CExVv5jxzlmXb7zEgSlHP1/7BPhBG5eJ83q7zmPOkc=,10968,22,0.70404814,62.99890591,2.403264041,0.629102845,333929.6041,44.65919037,8534,1354,600,351,129,0.575547098,5,elementary,normal
2I6JcI6MiTkb6Ya10XVBUdZIRXgbXhpapejBytTcjTg=,9213,15,0.901117985,18.91164659,1.205253446,0.085097145,353801.8675,37.20416802,6516,1465,632,421,179,0.840157189,3,elementary,easy
2I9aYyQzVZey2D9t2kJpJn97Aty7PBeZ0ITJvFS7Hfk=,22093,16,0.744806047,20.02946635,1.509256326,0.194179152,306062.1555,35.96139049,15387,3381,1582,1339,404,0.580427922,4,elementary,easy
2ITXot2a2bPpUbrQr34491M0lzlI7QvvHhgqW0bNZbw=,8384,25,0.740935115,34.62989027,1.827528626,0.676168893,274494.2093,49.06739027,6442,1210,380,238,114,0.650794542,7,junior,easy
2PPwwz9vQmrE8GQ+lOjBHWuVjLZlH2HIdJ2i2IuDmmc=,2593,16,0.703817971,29.40570767,2.0732742,0.454685692,464721.6221,48.08098727,2033,280,131,103,46,0.63711585,6,elementary,easy
2Q4i17ObOkd2Yb449DHA1IBEBnZ/7EImF3FYztgI+dk=,781,18,0.544174136,25.49423816,1.790012804,0.796414853,306481.8937,54.02304738,562,114,72,29,4,0.419471992,9,junior,unset
2VeOUPWzSmpJ7IWdbWoWzpPR2MszJab/rDr+jN04w1E=,11177,17,0.660284513,41.81327727,2.076585846,0.338552384,394188.9494,42.75861143,8589,1454,620,385,129,0.512166443,3,elementary,easy
2asf2uduG+FkuOfdP8cHt1SZjfjhNwqotGgnVZXKiuQ=,7117,28,0.562737108,28.55262049,2.159617816,0.599409864,325223.4385,51.04173107,5690,921,271,196,39,0.404222694,7,junior,hard
2dZAIlKn+MzyIa5L8xpWkRhS6Njmw4EYe2vwwwNsRQ4=,23927,17,0.852175367,20.0430894,1.260375308,0.116437497,269210.8049,32.16822,14758,4281,2447,1834,607,0.741206971,4,elementary,easy
2f91Isfs+HaZMyoefue8KM5T9TUHnyfMUs7lDEcsgWo=,16958,18,0.738117703,33.53945041,2.197252034,0.331642882,339603.1576,42.29018752,12474,2448,987,807,242,0.586123097,5,elementary,easy
2gvPp/ApACeovvXfovMnj6PCOtw2m8IJH2WxJuJuktE=,12767,20,0.715281585,19.49479126,1.534268035,0.375186026,235322.5549,34.29803399,8961,2216,854,467,269,0.573967888,6,elementary,easy
2k3XtblUSWpurYNdEmcHclEHBkPUraezRZrIxjMggzE=,1353,20,0.583148559,25.49667406,1.74796748,0.492978566,161577.1168,27.24316334,1173,144,19,12,5,0.551733358,9,junior,easy
2kgk70NSoRSIZJVWHH0hyeuD652kJYAa28NJwx1qjlQ=,6615,16,0.483749055,22.96250945,2.609826153,0.415873016,403813.6668,46.63960695,5653,562,185,164,51,0.366141641,6,elementary,easy
2rJ6DLjEMKZiRtzTx7yjg+2lbHOfTfLDyNli2mFXTiA=,5676,4,0.744362227,26.94415081,1.989957717,0.557258633,295850.0229,58.38530655,4603,765,152,111,45,0.698178477,7,junior,normal
2tKnUmnucgz4dVzTefKY0jsYdmnTfpuCZoCDvA49L/k=,966,6,0.800207039,27.61904762,1.421325052,0.193581781,547356.206,83.53623188,693,209,46,14,4,0.711414507,8,junior,hard
30tNTRnlyLs5r1ni/Lc0PMtHJajnPKrAhD37ZIOoIQQ=,15057,20,0.73155343,34.63332669,1.59832636,0.24493591,237491.5722,40.62256758,11360,2367,752,409,169,0.691900133,7,junior,easy
31pm8raJKwwI41JrU+s508PpAfTazsyOVzK6AcUPbU4=,996,20,0.488955823,60.84337349,2.358433735,0.875502008,183250.241,36.47590361,947,45,1,2,1,0.365484488,9,junior,normal
375WTBbZdRYv/Jw/rnTv7auOCQAAiNliDREgtraOuH0=,16308,16,0.624417464,60.93193525,2.37043169,1.00453765,336809.261,49.24552367,12892,2013,661,597,145,0.494414537,5,elementary,easy
3Bb76ZUap0HQIBirEbaOpc3O9okCVcv5TcNx+GfSCzk=,21412,20,0.674715113,21.27563983,1.711657015,0.18204745,306787.4426,39.7148328,15725,2926,1447,1004,310,0.540825172,4,elementary,normal
3C+qN0SBDoX18ZlkWCo9GhwnYOVQZ4S3XcPPwRLkOWU=,3426,22,0.629597198,22.44658494,1.797723292,0.196438996,461211.4238,81.90718039,2640,373,244,139,30,0.468155385,7,junior,unset
3Eu8lfUzzxW5b7/tSAH3gjzZMSa5Zu0vZJEc8avjHqQ=,3439,22,0.399243966,42.85548124,2.332945624,0.820005816,332187.686,78.63012504,3179,220,32,5,3,0.356882913,8,junior,easy
3FRmd7Ra1OoMuIMLg7kdD6GNoPN0J1tQEzwMpnuopVA=,6376,5,0.89444793,30.49168758,1.446361355,0.090181932,400955.2265,47.22882685,4497,1010,414,329,126,0.811844462,4,elementary,easy
3G6mZ4PSx2p5a6KftzQvLgJ9vr4dhJnTV8SVKGqIg8Q=,1830,20,0.567213115,44.20327869,1.912021858,0.786885246,585496.8683,106.5174863,1470,251,74,30,5,0.384667396,8,junior,normal
3ODGnNWJeT6dSEdVq0/4+miAK7egH5D4MD5iRNsyKCY=,11121,24,0.447441777,78.66477835,2.534754069,0.953061775,374351.3064,62.46497617,9975,738,242,133,33,0.325684894,7,junior,easy
3PSp+aLiSSlNgI+ZmYAMp/CUwJpbtLr21j9xOVFbKho=,1628,12,0.606879607,28.69287469,1.842137592,0.670761671,516348.4595,92.57739558,1341,186,64,32,5,0.474658152,8,junior,hard
3Rmd2VQUBwDitQ5mXI3d4TO3qkZv/hd0NH9nOSeh9sQ=,8904,19,0.877021563,34.024708,1.432165319,0.113207547,353649.3903,36.35107817,6417,1269,598,472,148,0.789608735,3,elementary,normal
3RuMUvN/dcLHZuOG/Y7DJ/bcazpLCu/pXC6iqNqEXog=,3860,20,0.39119171,41.08626943,2.284715026,0.496891192,323737.0106,52.39145078,3310,363,134,44,9,0.243101544,7,junior,hard
3T5CjM/cVJ69j4JcjfIpyFR12FVoH9zN8h1GhXhBCAk=,1674,20,0.608721625,35.60633214,2.084826762,0.578853047,189560.2646,36.45340502,1502,129,23,17,3,0.498091019,9,junior,normal
3UMCgqaFzwxkOnq4f8/PpYBxsI66yzicdM5uwfuBBcw=,9184,18,0.597669861,73.26143293,2.173562718,1.167682927,383546.7342,44.72179878,7442,920,424,289,109,0.489160763,4,elementary,normal
3VfCWZFKH42xkwq4yzD7e3080d6sXtw7H8OM4GXFB/4=,3870,37,0.523514212,34.72015504,2.181395349,0.247286822,341194.4525,65.32739018,3303,327,93,119,28,0.472738316,7,junior,unset
3Y3dv8Z1NFlxuvaLEK3OTOR8tgE75EPsZ93DaYMtApU=,5857,24,0.588014342,58.68243128,2.024244494,0.385180126,258371.0639,49.48847533,4906,671,139,113,28,0.450744802,8,junior,easy
3an/ohfFqHxFEA43RNM0CLh0slcV70c7Rah3pSz0KpM=,8762,16,0.796279388,50.74241041,1.574868751,0.456516777,254405.2287,35.26215476,6866,1137,358,292,109,0.702496925,6,elementary,easy
3b4WEwcR5WHjNJnrhAcEIsTdouxsfJ8nSQZ/4ikf4SM=,14844,21,0.450282943,70.16390461,2.801468607,1.671853948,187742.5309,32.76037456,13328,1032,256,163,65,0.359018883,6,elementary,normal
3bHs8ubahqHEEoAqR+v3jiUd36aEtg6AwQwevvoB5g0=,1055,20,0.530805687,35.88436019,2.366824645,0.752606635,201204.3479,30.41800948,985,62,5,2,1,0.364115451,9,junior,easy
3bi3IlXJCmGsHjjhLFlge9KQogLgE0Jf8uEEclJdq84=,11905,17,0.722805544,55.70844183,1.955648887,0.748593028,368399.2906,38.1198656,9187,1497,609,452,160,0.645213399,3,elementary,easy
3cg9wquB/Sf1whKNOekAQ/XUQcTUeXeW01l06R+BbNE=,21373,20,0.671033547,22.79403921,1.817854302,0.293220418,329222.8119,34.53759416,15129,3151,1735,1009,349,0.460884789,3,elementary,easy
3d6TySgzpTTKAQOg92jopidAKHKVBDpBnxMb8Sj9qZs=,5984,34,0.52540107,34.5665107,2.115808824,0.338235294,234065.9347,48.69953209,5079,617,197,63,28,0.385073013,8,junior,easy
3nGnL8DTmGw+c/xyCRcMO0ZPv1fw3aecHbw/ZjJC5KY=,7217,22,0.640016627,59.13523625,2.163641402,0.714562838,338679.215,56.06692532,5699,902,372,197,47,0.497999969,7,junior,easy
3sOEuxGBKh09ZpcaBhWXk4+LY+clD2Zpu/qTcPUVkVc=,13915,16,0.766295365,36.34408911,1.669134028,0.337190083,364465.7617,40.46007905,10144,2105,835,596,235,0.670056155,3,elementary,easy
3xqxJN2W+KEo3SBjh7HnXpGjB4ewSbm1j/18fCn05yc=,15292,16,0.373724823,89.14687418,3.309181271,1.210763798,334973.5894,43.27694219,13018,1336,503,337,98,0.255417895,4,elementary,hard
3yFVYhjNhMP7tnJJxuCoKfPObXOoeoA5CWP2jeb05pw=,10916,21,0.531238549,43.83675339,2.125503848,0.469219494,307721.6883,54.05001832,8955,1328,411,186,36,0.396716416,7,junior,normal
4+ldnKTcBGARW+MU2EyI+NRoyL2s/Mi8v7Po4+/RR6Y=,4810,36,0.413305613,60.38336798,2.995010395,1.352598753,332320.747,82.05821206,4197,474,104,29,6,0.360061831,8,junior,easy
402dNPbx+4GTuJz3zqGawb4Vh7B9jYsME8+b/b01PwY=,13045,18,0.596473745,48.4174013,2.66262936,0.795783825,384469.4127,51.78627827,10651,1511,482,327,74,0.460525561,5,elementary,easy
412PAnenNdYglQWXSlVtS1RYA7Yg60Wty166LCMaiHU=,17049,26,0.689483254,33.46202123,1.74104053,0.549123116,218948.7759,31.95290046,12136,2893,1186,583,251,0.539666287,6,elementary,easy
42SFjQ+xu0j97j13pHv3KG8Ha68fBYaZmYs3641qwho=,13528,30,0.50680071,44.67134831,2.591144293,1.277720284,198744.1464,36.8536369,12057,1018,256,158,39,0.454551368,6,elementary,normal
44N1RXOiWg4Zy6x/GQwNyECUUWAykXTDm7q/dERMTZo=,37973,16,0.783477734,19.62618176,1.460774761,0.252811208,277393.1324,31.45366445,23930,6639,3466,2891,1047,0.645594103,3,elementary,easy
45ftKnZp9GFrtzAvKvMwoMxtJRjVTLZxIXl1Vo6PzFY=,4557,27,0.753785385,27.75159096,1.765854729,0.350010972,296348.8543,38.35439982,3229,813,292,163,60,0.644110784,7,junior,normal
467jZhz5FyJVTN9X3CZRReWVNyCr5ThuQ6pvvkgXTtU=,5335,16,0.497656982,73.32614808,3.338894096,1.306841612,372927.8905,52.32389878,4704,392,140,77,22,0.364260495,5,elementary,normal
46ROXDc+6TtRsAPHki7/E82y+3AiRRPb1cWpd/9Y0OU=,24416,18,0.834411861,31.33584535,1.596821756,0.171076343,333442.1963,41.82835026,16468,3778,1824,1507,839,0.726013086,5,elementary,easy
49sbTmIMLfubZ+jwrUcdiWu5DciVkyQyCxSDPZcKAgk=,367,18,0.648501362,28.02179837,1.479564033,0.174386921,749341.5041,88.53405995,221,82,32,26,6,0.497860676,7,junior,normal
4BVALn5irV1247RL43vCYHrGwGO+WyV5JNasXCe3N8Y=,3388,20,0.70188902,32.81198347,1.858323495,0.573494687,158809.2264,34.56080283,2501,438,159,187,103,0.639685858,9,junior,easy
4Cs14shCTLdfFnIdlQ4kN//z73I2k0ryjmF6E1FzBmo=,780,20,0.465384615,51.65769231,2.024358974,0.467948718,164078.3718,29.21666667,694,71,7,6,2,0.349057174,9,junior,easy
4JcS9o5eqSGmsfqe/xrIrLH6445lgnKVcwF9b24djEw=,4502,16,0.715015549,34.19302532,2.020879609,0.654597956,295684.829,41.6030653,3676,516,165,106,39,0.61506128,6,elementary,easy
